,en
EXPLORER_RUINS_TEMPLE_ENCOUNTER,"You go back to the previously locked door and find it open. However, you don't have the opportunity to explore the room that lies behind the door. A large metallic construct approaches you. It has large blades as hands and they are tainted with dried blood."
EXPLORER_RUINS_TEMPLE_CREATURE,"This must be the creature that killed the other adventurers."
EXPLORER_RUINS_TEMPLE_RUN,"You don't expect to be able to defeat the creature so you begin running towards the exit."
EXPLORER_RUINS_TEMPLE_RUN_ESCAPE,"Fortunately, you are faster than the creature. You have lost sight of it when you arrived at the corridor leading to the staircase. However, a door blocks the only way out!"
EXPLORER_RUINS_TEMPLE_RUN_ESCAPE_FAILED,"You can't turn back because the creature is probably right around the corner so you run to the other corridor leading to the armory. But the creature is already approaching from this direction. There must be a hidden corridor between the workshop and the armory."
EXPLORER_RUINS_TEMPLE_RUN_FOLLOWED,"Fortunately, the creature is not faster than you. You hope that it will not be able to follow you through the narrow staircase. However, when you arrive there, a door blocks the way out!"
EXPLORER_RUINS_TEMPLE_NO_ESCAPE,"With no way to escape you wonder what to do. For whatever reason you don't understand the only thing that comes to your mind is the scroll that you found earlier."
EXPLORER_READ_SCROLL,"You're not sure what you are doing here, but you open the scroll anyway."
EXPLORER_BLACK_OUT,"Walls begin to shift and the creature vanishes behind a wall moving in front of you. Bricks move through the air and clouds of sand rise up. You're not sure what is going on. The sand blocks your view and everything becomes darker and darker and you black out."
EXPLORER_WAKE_UP,"You wake up in a bed. There is a window in the room and it is bright outside. This is odd because the last thing you remember is passing out in a dungeon. You stand up and get dressed."
EXPLORER_ENTER_INN,"You open the door and leave the room. The building you're in is apparently an inn. You try to find the exit when a women approaches you and says: ''You're finally awake!''"
ASK_WHAT_HAPPENED,"''What happened?''"
ASK_WHERE_AM_I,"''Where am I?''"
EXPLORER_INN_WHAT,"''We found you unconscious in the cellar of {name}. Just how did you end up there?''"
EXPLORER_INN_WHERE,"''This is the inn. Oh, the city? It's {city}. How comes you don't know? Are you really alright?''\nYou don't remember a city with this name but the ruins are called like that."
SAY_DONT_KNOW,"''I don't know...''"
SHOW_HER_SCROLL,"Show her the scroll."
SAY_NONE_BUSINESS,"''That's none of your buiseness.''"
EXPLORER_INN_DONT_KNOW,"You don't know what is going on here. The last thing you remember was reading a mysterious scroll. Maybe you should try to find out something about it."
EXPLORER_INN_SCROLL,"The last thing you remember was reading a mysterious scroll. You look for the scroll in your bag but only the handles of the scroll are remaining.\n''What is this?''\nMaybe they will help you to find a clue."
EXPLORER_CITY,"You step outside and find yourself in a rather large city - too large to possibly miss it. You wonder how you ended up in this place. You start exploring the city and realize that the hills outside the city walls look familiar. On a closer look the surroundings of the city look exactly like the place where the ruins were located, but now there is a city on the hill where the ruins were."

